dlga_start:blocked_agent|This person seems busy. Maybe I should move on...{***};;
dlga_blocked_agent:close_window|I'm sorry. I didn't mean to disturb you.{***};;
dlga_blocked_agent:close_window.1|[Just Leave]{***};;
dlga_wolf_talk_2:close_window|Heel!{***};;
dlga_wolf_talk_2:close_window.1|Go, {s1}, go!{***};;
dlga_wolf_talk_2:close_window.2|{s1}, stay here!{***};;
dlga_wolf_talk_2:wolf_talk_pretrain|Here, I have something for you ...{***};;
dlga_wolf_talk_2:close_window.3|You will be called...{***};;
dlga_wolf_talk_2:close_window.4|Bad wolf! Go away! I don't want you any more!{***};;
dlga_wolf_talk_2:close_window.5|Drop it!{***};;
dlga_start:wolf_talk_recruit|   {***};;
dlga_wolf_talk_recruit:wolf_talk_1|Here, have a sausage!{***};;
dlga_wolf_talk_recruit:close_window|Good wolf!{***};;
dlga_wolf_talk_recruit:close_window.1|Shoo!{***};;
dlga_wolf_talk_pretrain:wolf_talk_train|Here, I have something for you ...{***};;
dlga_wolf_talk_train:wolf_talk_pretrain|You're wounded. Here, have a {s7}!{***};;
dlga_wolf_talk_train:wolf_talk_pretrain.1|You need more strength, this {s7} will make you stronger!{***};;
dlga_wolf_talk_train:wolf_talk_pretrain.2|You need a more powerful bite. This {s7} should help{***};;
dlga_wolf_talk_train:wolf_talk_pretrain.3|You look malnourished. Here, have some {s7}!{***};;
dlga_wolf_talk_train:wolf_talk_pretrain.4|You could be faster, my friend. Here is some {s7} for you!{***};;
dlga_wolf_talk_train:wolf_talk_pretrain.5|Here is some {s7} for your teeth!{***};;
dlga_wolf_talk_train:wolf_talk_1|I have no more food for you.{***};;
dlga_wolf_talk_train:wolf_talk_1.1|That's all for today.{***};;
dlga_dog_talk_2:close_window|Heel!{***};;
dlga_dog_talk_2:close_window.1|Go, {s1}, go!{***};;
dlga_dog_talk_2:close_window.2|{s1}, stay here!{***};;
dlga_dog_talk_2:dog_talk_pretrain|Here, I have something for you ...{***};;
dlga_dog_talk_2:close_window.3|You will be called...{***};;
dlga_dog_talk_2:close_window.4|Bad dog! Go away! I don't want you any more!{***};;
dlga_dog_talk_2:close_window.5|Drop it!{***};;
dlga_start:dog_talk_recruit|   {***};;
dlga_dog_talk_recruit:dog_talk_1|Here, have a sausage!{***};;
dlga_dog_talk_recruit:close_window|Good dog!{***};;
dlga_dog_talk_recruit:close_window.1|Shoo!{***};;
dlga_dog_talk_pretrain:dog_talk_train|Here, I have something for you ...{***};;
dlga_dog_talk_train:dog_talk_pretrain|You're wounded. Here, have a {s7}!{***};;
dlga_dog_talk_train:dog_talk_pretrain.1|You need more strength, this {s7} will make you stronger!{***};;
dlga_dog_talk_train:dog_talk_pretrain.2|You need a more powerful bite. This {s7} should help{***};;
dlga_dog_talk_train:dog_talk_pretrain.3|You look malnourished. Here, have some {s7}!{***};;
dlga_dog_talk_train:dog_talk_pretrain.4|You could be faster, my friend. Here is some {s7} for you!{***};;
dlga_dog_talk_train:dog_talk_pretrain.5|Here is some {s7} for your teeth!{***};;
dlga_dog_talk_train:dog_talk_1|I have no more food for you.{***};;
dlga_dog_talk_train:dog_talk_1.1|That's all for today.{***};;
dlga_start:port_chief_travel|Are you looking to travel to another town?{***};;
dlga_start:port_chief2|{s1}{***};;
dlga_port_chief2:port_chief3|What do you need?{***};;
dlga_port_chief3:port_chief_buy_ship|I want to buy a ship.{***};;
dlga_port_chief_buy_ship:close_window|Follow me!{***};;
dlga_port_chief3:port_chief_info_main|I have some questions about ships and sea travel.{***};;
dlga_port_chief_info_main:port_chief_info_main_1|What do you want to know?{***};;
dlga_port_chief_info_main_1:port_chief_info_a_1|Why do people go to sea?{***};;
dlga_port_chief_info_main_1:port_chief_info_b_1|How do I find my way at sea?{***};;
dlga_port_chief_info_main_1:port_chief_info_c_1|What do I need to know if I want to buy a ship?{***};;
dlga_port_chief_info_main_1:port_chief_info_d_1|What makes a ship fast?{***};;
dlga_port_chief_info_main_1:port_chief2|That's all I wanted to know. Thanks!{***};;
dlga_port_chief_info_a_1:port_chief_info_main|You can earn a lot of money if you trade goods or slaves across the sea. Others use it for raiding settlements. Finally, no Ironborn will respect you as a leader if you don't have a good ship.{***};;
dlga_port_chief_info_a_1:port_chief_info_main.1|You can earn a lot of money if you trade goods or slaves across the sea. Others use it for raiding settlements.{***};;
dlga_port_chief_info_b_1:port_chief_info_main|Look at the sun at day. Rest at night. The better you are at finding your way, the faster you travel.{***};;
dlga_port_chief_info_c_1:port_chief_info_c_2|First, you need to know what type of ship you want. If you want to trade, then a Merchant ship may be a good choice. They have much room for cargo, but they are not very fast. The Warship, the Galley and the Cog are fast warships and are able to carry many troops. The longship is something in-between. If you only have a few men and little coin, then just a small row boat would perhaps suit you better.{***};;
dlga_port_chief_info_c_2:port_chief_info_main|The second important factor is the type of wood the ship is made from. Ships made out of oak wood are the best ships, but are also expensive. Beech is cheaper, but it rots faster.{***};;
dlga_port_chief_info_d_1:port_chief_info_main|The wind -- if you place your sails in a position to catch it best. If there is no wind at all, then your crew has to row. More rowers will make the ship faster. If you have more than one ship in your fleet, then your fleet will only be as fast as your slowest ship. A skilled Navigator can also make your fleet faster.{***};;
dlga_port_chief3:port_chief_travel|I want to travel to another port.{***};;
dlga_port_chief_travel:close_window|I'm sorry. There are currently no passenger ships in this port that can transport a marshal and his whole army.{***};;
dlga_port_chief_travel:close_window.1|I'm sorry. There are currently no passenger ships in this port that can transport your party and the trader with his whole cargo.{***};;
dlga_port_chief_travel:port_chief_travel_2|Where do you want to go?{***};;
dlga_port_chief_travel:close_window.2|I am sorry. There are currently no passenger ships in this port.{***};;
dlga_port_chief_travel_2:port_chief_travel_3|{s1}{***};;
dlga_port_chief_travel_2:close_window|I changed my mind.{***};;
dlga_port_chief_travel_3:port_chief_travel_4|You want to travel to {s1}? {s2}{***};;
dlga_port_chief_travel_4:port_chief_travel_5|Sure, lets go.{***};;
dlga_port_chief_travel_4:port_chief2|{s1}{***};;
dlga_port_chief_travel_4:close_window|{s1}{***};;
dlga_port_chief_travel_5:close_window|Then come aboard and we shall leave right away.{***};;
dlga_port_chief3:port_chief_pick_up_ship1|Is my ship ready yet?{***};;
dlga_port_chief_pick_up_ship1:port_chief2|My men and I are still working on it. Come back in {reg1} days.{***};;
dlga_port_chief_pick_up_ship1:port_chief_pick_up_ship2|The ship is ready! Do you want us to launch it?{***};;
dlga_port_chief_pick_up_ship2:port_chief_pick_up_ship3|Yes!{***};;
dlga_port_chief_pick_up_ship2:port_chief2|No, not yet.{***};;
dlga_port_chief_pick_up_ship3:port_chief2|Sorry, your sailing master skill isn't high enough to add an additional ship to your current fleet in this port.{***};;
dlga_port_chief_pick_up_ship3:close_window|Well, take a look at it and give it a name.{***};;
dlga_port_chief_pick_up_ship3:port_chief2.1|There is not enough room left in the port for another ship.{***};;
dlga_port_chief3:port_chief_build_ship_main|I want you to build me a ship.{***};;
dlga_port_chief_build_ship_main:port_chief2|A ship? We are Dothraki, we do not build ships!{***};;
dlga_port_chief_build_ship_main:port_chief_build_ship_main_1|What kind of ship do you want to have?{***};;
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2|I just need a little row boat.{***};;
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.1|I want a Merchant Ship for trading.{***};;
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.2|I want a large attack ship.{***};;
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.3|A good attack Galley!{***};;
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.4|I'm interested in a warship. A Large Galley, please.{***};;
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.5|I have many warriors. Can you build a Cog for me?{***};;
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.6|I need a good, all-round ship. A Longship should do.{***};;
dlga_port_chief_build_ship_main_1:port_chief2|I changed my mind.{***};;
dlga_port_chief_build_ship_main_2:port_chief_build_ship_main|Sorry, we only have the skills and resources required to build small boats.{***};;
dlga_port_chief_build_ship_main_2:port_chief_info_main_3|What kind of wood would you like to use?{***};;
dlga_port_chief_info_main_3:port_chief_build_ship_main_4|Oak wood. I want quality.{***};;
